                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.14068,                0.36066,                0.90188,                0.76902,                 0.6547,                0.70965,                0.70965,                0.23886,                 1.0933,                0.32475,             0.00091684,             0.00091684,             0.00091684
                     87,                0.13416,                0.34286,                0.88188,                 0.8024,                0.78182,                0.76475,                0.76475,                0.16007,                0.79329,                0.26244,             0.00091585,             0.00091585,             0.00091585
                     88,                0.13811,                0.36191,                0.88924,                0.61778,                0.73333,                0.78919,                0.78919,                0.26237,                0.91909,                0.38341,             0.00091486,             0.00091486,             0.00091486
                     89,                0.13217,                0.34763,                0.89778,                0.75417,                0.78394,                 0.6751,                 0.6751,                0.18595,                0.85639,                0.27665,             0.00091387,             0.00091387,             0.00091387
                     90,                 0.1514,                0.38976,                 0.8918,                0.83618,                0.66402,                0.77659,                0.77659,                0.21731,                0.99882,                0.30363,             0.00091288,             0.00091288,             0.00091288
                     91,                0.14462,                0.35779,                0.89094,                0.72678,                0.75606,                0.77217,                0.77052,                0.22464,                 1.4948,                0.33186,             0.00091189,             0.00091189,             0.00091189
                     92,                0.13918,                0.34861,                0.89425,                0.83241,                 0.7467,                0.79437,                0.79437,                0.17236,                0.78556,                0.27006,              0.0009109,              0.0009109,              0.0009109
                     93,                0.13954,                 0.3421,                0.88618,                0.87276,                0.70848,                0.80824,                0.80824,                0.17745,                0.91714,                0.30653,             0.00090991,             0.00090991,             0.00090991
                     94,                0.14403,                0.36373,                0.88825,                0.81445,                    0.8,                0.80082,                 0.7998,                0.22558,                0.78593,                0.33116,             0.00090892,             0.00090892,             0.00090892
                     95,                0.13939,                0.37265,                0.88959,                0.75115,                0.62142,                 0.6722,                 0.6722,                0.17452,                 2.0045,                0.27961,             0.00090793,             0.00090793,             0.00090793
                     96,                0.14015,                0.36742,                0.89318,                0.73711,                0.77124,                0.78938,                0.78938,                0.22314,                0.80957,                0.31522,             0.00090694,             0.00090694,             0.00090694
